tipo_veiculo,total_entregas,valor_frete_total,custo_combustivel_total,margem_bruta_total,margem_bruta_media,margem_percentual_media,participacao_margem_total
Carreta_Bau,1628,4542156.97,1907455.82,2634701.15,1618.3667997542998,0.581623299348911,36.25906874908416
Carreta_Sider,1582,4521609.48,1910587.87,2611021.61,1650.4561378002527,0.5790045796239784,35.93318811977381
Truck,1580,931318.49,230187.26,701131.23,443.7539430379747,0.7714399592127067,9.649050887877715
Toco,1921,692278.81,162848.29,529430.52,275.60152004164496,0.7797189913080388,7.286085415244677
VUC,2956,493887.71,98823.89,395063.82,133.64811231393776,0.8064518633436679,5.436915002544334
3/4,2251,508420.6,113445.66,394974.94,175.4664326965793,0.7883030040674134,5.435691825475307
