tipo_veiculo,total_entregas,margem_bruta_total,participacao_margem_total,margem_bruta_media,margem_percentual_media,probabilidade_atraso,atraso_medio_min,atraso_mediano_min
Carreta_Bau,1628,2634701.15,36.25906874908416,1618.3667997542998,0.581623299348911,64.43,25.63,25.72
Carreta_Sider,1582,2611021.61,35.93318811977381,1650.4561378002527,0.5790045796239784,65.61,27.22,25.16
Truck,1580,701131.23,9.649050887877715,443.7539430379747,0.7714399592127067,62.03,10.51,9.08
Toco,1921,529430.52,7.286085415244677,275.60152004164496,0.7797189913080388,56.53,5.39,4.29
VUC,2956,395063.82,5.436915002544334,133.64811231393776,0.8064518633436679,55.35,2.49,3.12
3/4,2251,394974.94,5.435691825475307,175.4664326965793,0.7883030040674134,55.98,3.59,3.6
