tipo_veiculo,total_entregas,distancia_media_km,valor_frete_medio,custo_combustivel_medio,frete_por_km_medio,custo_por_km_medio,margem_bruta_media,margem_percentual_media,probabilidade_atraso,margem_por_km_media
Truck,1580,89.25,589.44,145.69,7.93,1.63,443.75,77.14,62.03,6.3
Carreta_Sider,1582,370.59,2858.16,1207.7,7.75,3.26,1650.46,57.9,65.61,4.49
Carreta_Bau,1628,371.31,2790.02,1171.66,7.55,3.16,1618.37,58.16,64.43,4.4
Toco,1921,78.07,360.37,84.77,5.19,1.09,275.6,77.97,56.53,4.1
3/4,2251,59.28,225.86,50.4,4.23,0.86,175.47,78.83,55.98,3.36
VUC,2956,51.59,167.08,33.43,3.52,0.66,133.65,80.65,55.35,2.85
